"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"2",NA,NA,NA,0,NA,NA,NA,NA,0,NA,6,0,0,0,0,NA,0,0,NA,0,8,0,0,0,64,6,27,0
"3",NA,100,0,180,111,NA,50,102,90,76,185,190,136,280,350,60,100,128,110,45,75,89,54,75,55,103,209,302
"4",NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,32
"5",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4
"6",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,0,9,2
"7",2,0,NA,0,210,NA,NA,NA,NA,0,800,0,NA,0,0,0,3000,1000,1500,1750,30,400,1032,600,248,2113,2552,2600
"8",0,0,0,0,0,0,0,89,7,NA,5,8,5,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0
"9",4,500,0,NA,NA,23,NA,NA,NA,NA,NA,175,210,138,263,320,412,8,2515,1286,3500,143,110,0,93,120,0,41
"10",0,0,0,NA,NA,NA,NA,NA,0,NA,NA,67,NA,53,46,22,10,12,14,2,0,0,0,0,0,0,0,4
"11",NA,NA,0,8,0,0,74,0,80,130,98,50,114,434,30,32,28,2,50,80,68,0,NA,0,0,0,0,0
"12",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,NA,NA,81,18,NA,NA,7,8
"13",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,48,80,124,155,26,104,3,15,14
"14",NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,NA,306,288,133,18,180,116,224,99,54
"15",NA,0,60,82,NA,NA,NA,0,NA,90,100,NA,NA,NA,10,1000,530,350,300,0,40,320,18,14,80,50,1210,6
"16",NA,NA,0,0,NA,NA,NA,NA,0,28,0,NA,NA,NA,26,0,25,37,48,0,0,0,0,0,23,0,0,67
"17",NA,0,NA,0,NA,5,NA,130,12,NA,72,10,11,7,5,36,0,0,0,0,0,4,0,15,0,0,0,NA
"18",NA,0,0,0,NA,NA,NA,150,NA,0,0,30,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,0,0
"19",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,12,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,0,0,0,4,0,0,0,0,0
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,59,0,9,51
"22",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"23",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,8,0,10,0,0
"24",NA,0,0,0,0,NA,NA,50,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0
"25",NA,NA,NA,0,6,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,4,17,0
"27",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,8,0,0,0,64,2,0,4,0
"28",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,32,NA,NA,NA,NA,NA,930,2830,2552,2516,800,5600,890,236,37,28,66,155
"29",10,44,NA,0,220,NA,NA,NA,100,394,150,280,NA,60,400,5,0,24,650,80,40,137,0,200,93,40,140,250
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,800,0,116,77
"31",NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,11,0,0,0,NA,0,0,0
"32",NA,0,100,0,NA,NA,NA,NA,NA,2436,0,0,NA,0,NA,250,60,NA,NA,NA,300,NA,NA,NA,0,0,0,0
"33",NA,NA,0,NA,NA,NA,NA,50,50,26,500,50,0,NA,0,0,NA,10,0,NA,7,13,29,7,14,12,8,10
"34",NA,NA,NA,NA,NA,NA,NA,473,350,63,500,NA,260,220,131,367,500,251,0,NA,60,103,0,40,1,0,0,12
"35",32,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,10,0,1050,0,800,600,800,NA,650,700,475,660,1050,377,1350,2493
"36",NA,0,NA,0,16,NA,NA,NA,0,50,16,0,NA,46,0,350,20,0,0,360,0,20,0,0,210,350,200,0
"37",NA,NA,NA,NA,NA,NA,NA,0,6,21,28,NA,41,41,18,22,NA,0,3,NA,NA,NA,NA,NA,NA,0,0,0
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,NA,NA,440,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"39",NA,NA,NA,NA,NA,NA,NA,NA,2500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0,0
"40",NA,NA,0,NA,NA,NA,NA,NA,0,NA,648,536,477,418,1844,597,357,284,1884,1560,0,0,1130,0,0,15,27,0
"41",NA,NA,500,19,NA,NA,NA,NA,NA,16,0,0,NA,0,NA,NA,NA,NA,10,0,NA,NA,0,0,381,0,200,0
"42",NA,NA,0,0,NA,NA,NA,NA,0,0,150,NA,NA,1300,0,NA,6,370,18,150,0,NA,0,48,0,1000,78,50
"43",NA,NA,NA,NA,NA,NA,NA,NA,25,45,0,NA,NA,NA,0,100,68,0,5,NA,NA,NA,NA,NA,NA,0,8,8
"44",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,10
"45",NA,NA,NA,NA,NA,NA,1080,251,1110,350,150,760,NA,180,12,1350,840,270,4100,1800,20,1,2750,150,3370,458,0,140
"46",NA,137,4120,300,NA,NA,NA,1400,1600,1100,780,NA,1500,2220,5500,590,80,385,260,12,550,550,13,37,506,0,188,270
"47",NA,NA,NA,NA,NA,NA,NA,6,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,28,NA,6,10
"48",NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,0,0
"49",NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,630,218,1170,220,600,197,180,48,20,975,870,2410,1230,0,410
"50",NA,NA,0,429,1150,1100,550,185,280,500,300,200,300,630,304,66,120,300,300,360,272,738,300,320,500,290,300,250
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,NA,70,440,190,206,1680,0,0,100,0,1,0,1100,0,0,50,12
"52",NA,0,NA,NA,NA,0,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,0,0,0,NA,NA,5,0,20,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0
"54",NA,0,50,3,NA,NA,NA,NA,NA,0,0,0,30,NA,0,0,0,0,0,500,0,0,0,0,0,0,0,0
"55",NA,74,0,6,NA,NA,0,NA,0,0,0,0,NA,200,0,0,0,0,NA,0,160,0,0,0,0,0,0,0
"56",NA,NA,NA,0,200,NA,100,NA,150,1000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,2000,NA,2500,3780,150,1600,200,300,0,NA,70,0,0,130,36,NA,470,1410,122,109,120,45,774,1500
"58",NA,130,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA,NA,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,10,50,50,400,NA,100,100,50,880,50,250,0,NA,120,916,33,529,317,NA,400,1068,1450,1360,280,2560,545,153
"61",NA,NA,NA,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA,NA,NA,520,0,50,450,600,600,400,440,100,95,100,20,74,350,26,100,250,200,340,4,220
"63",NA,0,0,0,0,0,366,2170,872,220,6504,0,NA,1320,4250,450,2010,540,6900,7600,106,0,1120,2620,7350,2378,3150,474
"64",NA,NA,NA,NA,NA,NA,NA,418,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,0,NA,NA
"65",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,6,0,0,0,0,0,0
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,42,38,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,8,4,2,NA,0
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,16,36,43,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,0
"68",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,7,0,0,0,NA,NA
"69",NA,NA,0,0,0,0,0,0,70,300,30,450,60,300,8,66,150,0,0,0,8,0,6,12,5,4,4,14
"70",NA,NA,NA,NA,NA,NA,NA,NA,0,0,80,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"71",NA,NA,NA,0,NA,NA,NA,0,0,8,26,NA,167,167,108,20,1050,14,228,76,30,450,200,400,400,600,0,0
"72",NA,NA,60,58,0,0,0,123,0,0,1,120,NA,80,0,310,20,27,25,0,810,700,60,6,100,408,1300,200
"73",NA,0,0,NA,NA,NA,240,0,NA,0,500,6450,NA,4060,5900,4300,4950,2700,17300,9100,5205,1700,7510,3160,2945,1500,1010,82
"74",6688,87,1500,290,58,150,250,117,112,34,10,40,100,140,120,2,145,101,86,283,291,323,29,669,880,29,110,3356
"75",0,1105,0,NA,1200,1390,0,NA,1876,1876,260,7100,0,1950,NA,4319,3990,0,840,1693,885,755,321,57,62,104,0,20
"76",0,2,2,0,0,2,0,0,0,0,0,NA,0,0,0,0,0,0,30,0,0,0,0,0,0,0,16,0
"77",NA,1230,2850,254,162,135,825,97,50,6,105,0,320,NA,14,153,37,1300,200,121,155,260,22,386,63,1104,161,879
"78",NA,320,360,NA,279,1540,1270,1656,2060,580,2480,7130,NA,325,2900,60,25,460,1800,2210,3080,2250,2040,1740,860,390,570,6
"79",NA,NA,NA,NA,NA,NA,NA,NA,700,0,0,0,23,66,13,400,NA,NA,NA,0,NA,35,0,33,370,0,5,0
"80",0,0,660,7050,1603,8865,910,4290,725,3476,5350,10159,2481,510,2022,893,1545,2756,629,100,156,1023,1200,1964,210,173,124,3100
"81",NA,250,50,0,NA,NA,NA,NA,NA,0,110,0,NA,1800,0,200,120,172,0,1400,600,0,1700,0,0,18,0,0
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,16,0,0
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,26
"84",NA,12,60,NA,0,162,1020,240,480,420,1800,520,NA,0,0,2180,150,120,40,750,4,872,0,0,1908,9924,4627,39
"85",0,43,2525,NA,150,2672,150,83,7025,511,4269,2034,1985,285,1130,277,1205,1690,1568,3801,352,2325,545,574,970,7906,1967,9000
"86",139,98,278,380,267,200,NA,NA,967,651,1040,563,1240,1032,912,709,1847,336,2300,1200,1320,560,672,660,620,220,180,395
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,6,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA
"89",NA,12,139,NA,NA,NA,NA,199,150,169,80,NA,2,NA,385,NA,NA,NA,NA,NA,NA,85,0,NA,NA,420,650,107
"90",0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,0,0,28
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,16,800,0,NA,350,4,0,NA,0,0,500,60,0,NA,0,0,0,0,0
"92",NA,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,54,0,4,0,130,36,0,0,0,0,0
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
"94",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,43,4,NA,0,0
"95",NA,NA,0,0,NA,NA,60,NA,0,28,5,NA,NA,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",NA,8,NA,NA,NA,NA,NA,NA,0,0,50,67,40,30,NA,0,16,71,NA,23,NA,16,13,10,15,33,0,8
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,11,33,NA,0,53,13,3,4,0,2,0
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,351
"99",NA,NA,230,NA,NA,NA,NA,NA,NA,NA,90,60,70,110,NA,NA,NA,0,NA,NA,NA,420,NA,200,96,130,65,20
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,110,80,95,0,20,NA,NA,NA,0,NA,NA,NA,380,NA,0,0,37,16,30
"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,72,80,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,0,0,0,0,0,0,0,1150,127,5,2230,NA,1240,130,150,200,0,0,0,68,90,5950,0,0,0,0,0
"104",NA,0,66,NA,NA,NA,NA,0,0,20,0,NA,0,NA,60,NA,NA,NA,NA,NA,NA,40,0,NA,NA,40,0,100
"105",100,0,320,200,0,NA,NA,NA,520,1500,250,0,NA,0,3000,0,50,30,20,130,200,0,300,100,540,140,300,30
"106",NA,90,9000,700,NA,NA,NA,NA,6000,0,230,0,NA,22,1200,1170,0,NA,0,0,500,NA,2000,0,1000,0,0,0
"107",NA,0,NA,0,NA,NA,NA,NA,NA,0,2240,0,NA,0,0,0,0,0,200,0,0,0,70,0,0,0,0,0
"108",NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,800,0,0,NA,54,0,0,120,0,0,0,0,0,0,0
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,20,0,101,0,0,0,0,0,0,0,0,0,0,0
"110",NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"111",NA,NA,40,NA,NA,NA,NA,NA,NA,0,0,6,NA,10,20,60,NA,2,0,200,50,NA,478,0,448,0,1464,0
"112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,300,0,5,350,0,6,15
"113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,40,115,120,190,NA,61,4,112,212,29,14,16,97,5
"114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,NA,492,360,171,31,850,216,848,87,286,308,NA,233
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,155,104,0,47
"116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,112,35,15,92,NA,0,0,0,0,60,0,0,22,118
"117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,36,NA,0,0,0,0,0,0,3,48,1
"118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,NA,0,0,0,0,0,52,NA,0,0
"119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,23,0,0,64,0
"120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,2,0,0,0
"121",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,33,43,6,0,38,0,45,14,10,0,0,0
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,40,NA,NA,0,NA,0,90,0,0,NA
"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0,0,NA,0,NA,NA,121,NA
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,0,0,NA,0,0,10,25,450
"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,0,0,0,0,0,0,75,417
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,0,0,4
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,NA,NA,NA,120,30,11,NA,145,120,57,150,72,85,23
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,0,0,120,80,0,0,NA,NA,NA
"129",NA,0,4,800,503,NA,310,3306,770,4500,282,3300,36,NA,869,236,289,342,0,0,0,0,0,0,0,0,0,2
"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,340,128,0,NA,NA,0,0
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4,0,0,NA,NA,NA,12,0,0,0,16,0
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,0,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA
"134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,800,NA,0,0,NA,0,0,0,0,0,0
"135",0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,8,1050,0,NA,0,15,0,10,0,0,0,0
"136",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,45,NA,0,0,0,0,0
"137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5,16,47,103
"138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6,NA,NA,120,12,80,48,410,68
"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,680,NA,850,NA,80,496,410,2884,1502,105
"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,25,268,568,1191
"141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,0,0,6
"142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,20,10,25,NA,NA,38,28,NA,NA,77,40
"143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,0,4,0,NA,NA,110,30,NA,NA,45,65
"144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,8,0,73
"145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,3
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,41,0,0,NA,NA
"147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,11,NA,NA
"148",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,47,238,177,NA,200,123,36,77,468,532,300,1006
"149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,55,0,0,0,0
"150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,0,2,0,0,0,0,0,0
"151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,41,52,NA,0,2,5,35,60
"152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,15,NA,NA,NA,NA
"154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,120,NA,NA,NA,NA,10,NA,NA,NA,0,0,0,0,0
"155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA
"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,36,0,2,NA,NA,0,0,0,0,8,29
"157",0,0,0,0,0,0,0,0,0,0,0,0,0,80,60,30,0,20,44,0,0,0,0,0,0,0,4,0
"158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,20,0,0,0,0
"159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,2
"160",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1080,292,NA,572,5600,10200,0,5,0,NA,4,NA,NA,0,NA,NA,NA,NA
"161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,21,22,0,8,36,0,0,0,0,8,0
"162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,26,40,40,16,24,0,22,0,6,17,0
"163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,0,NA,50,0,0,0,0,0,13,22,24
"164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,25,0,0,0,0,0
"165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,0,NA,196,0,0,0,88,0
"166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,391,183,4681,123
"167",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,22,23,190,14,8,42,75
"168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,0,0,2,5,0,10,10
"169",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,37,6,30,140,80,100,20,48,20,0,20,0
"170",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,4,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,42,0,0,0,250
